Pregunta,TipoRespuesta,Peso (%),Requerido (Si/No),Evidencia,Categoria,Respuesta,Puntaje
Senalizacion visible de zonas y rutas de circulacion?,Si/No,8,Si,Evidencia fotografica,Infraestructura,,
Segregacion por tipo de residuo conforme codigo de colores?,Si/No,8,Si,Lista de verificacion,Operacion,,
Orden y limpieza diaria documentada?,Escala,8,Si,Bitacora de aseo,Operacion,,
Control de temperatura y ventilacion cumple parametros?,Escala,6,Si,Formato de monitoreo,Infraestructura,,
Registro de ingreso y salida de residuos actualizado?,Si/No,10,Si,Libro de control,Control,,
Contenedores y recipientes en buen estado y rotulados?,Escala,8,Si,Acta de inspeccion,Infraestructura,,
Disponibilidad y uso de EPP por parte del personal?,Escala,7,Si,Checklist de seguridad,Seguridad,,
Disponibilidad de kits para derrames y absorventes?,Si/No,6,No,Inventario,Seguridad,,
Delimitacion de areas incompatibles y zonas de seguridad?,Si/No,5,No,Plano senalizado,Infraestructura,,
Manejo de lixiviados y drenajes controlado?,Escala,6,Si,Registro de limpieza,Operacion,,
Programa de limpieza y desinfeccion cumplido segun cronograma?,Escala,7,Si,Bitacora de sanitizacion,Operacion,,
Control de plagas con registros vigentes?,Si/No,5,No,Certificados de fumigacion,Seguridad,,
Rutas de evacuacion y extintores verificados mensualmente?,Si/No,4,No,Acta de inspeccion,Seguridad,,
Plan de emergencia actualizado y socializado?,Si/No,6,Si,Plan y actas de capacitacion,Seguridad,,
Documentacion obligatoria visible (procedimientos, fichas)?,Si/No,6,No,Tablero informativo,Control,,
Total peso,,100,,,,,
