Pregunta,TipoRespuesta,Peso (%),Requerido (Si/No),Evidencia,Categoria,Respuesta,Puntaje
Contrato y licencias ambientales del gestor vigentes?,Si/No,12,Si,Contrato y licencia,Legal,,
Gestor inscrito en plataforma RESPEL y RUA?,Si/No,8,Si,Certificados de registro,Legal,,
Permisos de transporte de residuos peligrosos actualizados?,Si/No,10,Si,Licencias vehiculares,Operacion,,
Plan de contingencia del gestor revisado y aceptado?,Si/No,8,Si,Plan de contingencia,Seguridad,,
Cumplimiento de tiempos de recoleccion segun PGIRASA?,Escala,10,Si,Bitacora recolecciones,Servicio,,
Integridad de contenedores devueltos (sin fugas, rotulados)?,Escala,8,Si,Formato de inspeccion,Operacion,,
Entrega de manifiestos RHPS firmados en <=5 dias habiles?,Si/No,12,Si,Manifiestos digitalizados,Documentacion,,
Soporte de disposicion final/incineracion entregado oportunamente?,Si/No,10,Si,Certificados de disposicion,Documentacion,,
Reporte de incidentes o contingencias en <=24h?,Si/No,6,Si,Comunicaciones registradas,Seguridad,,
Personal del gestor con capacitacion vigente en manejo de residuos?,Escala,6,No,Certificados de capacitacion,Competencia,,
Encuesta de satisfaccion del servicio aplicada semestralmente?,Escala,5,No,Resultados de encuesta,Mejora,,
Indicadores de trazabilidad (kg recogidos vs entregados) reportados trimestralmente?,Escala,5,No,Informe trimestral,Control,,
Gestion documental digital accesible para auditoria?,Si/No,5,No,Portal o carpeta digital,Control,,
Auditoria anual al gestor realizada y con acciones cerradas?,Si/No,5,No,Informe de auditoria,Mejora,,
Total peso,,100,,,,,
