Pregunta,TipoRespuesta,Peso (%),Requerido (Si/No),Evidencia,Categoria,Respuesta,Puntaje
Plan PGIRASA vigente aprobado por autoridad competente?,Si/No,8,Si,Resolucion o acta aprobacion,Planificacion,,
Matriz de generadores (RH1) actualizada con responsables por area?,Si/No,7,Si,Matriz firmada y publicada,Planificacion,,
Caracterizacion fisicoquimica de residuos actualizada (<12 meses)?,Si/No,8,Si,Informe de laboratorio,Planificacion,,
Rutas y frecuencias de recoleccion internas definidas y socializadas?,Si/No,6,Si,Procedimiento PGIRASA,Planificacion,,
Procedimientos de segregacion visibles en los puntos de generacion?,Escala,7,Si,Evidencia fotografica,Operacion,,
Registro RH1 diligenciado diariamente sin faltantes?,Si/No,12,Si,Formato RH1,Operacion,,
Registros RHPS cargados cada vez que se realiza recoleccion externa?,Si/No,10,Si,Formato RHPS digital,Operacion,,
Actas de incineracion mensuales cargadas y conciliadas?,Si/No,6,Si,Acta incineracion,Control,,
Zona de almacenamiento cumple requisitos de infraestructura (pisos, drenajes, ventilacion)?,Escala,8,Si,Checklist almacenamiento,Operacion,,
Monitoreo de temperatura/ventilacion se realiza segun plan?,Escala,4,No,Formatos de inspeccion,Operacion,,
Elementos de proteccion personal disponibles y en buen estado?,Escala,5,Si,Inventario EPP,Seguridad,,
Registro de capacitaciones PGIRASA actualizado y con evidencias?,Escala,6,Si,Listas de asistencia,Competencia,,
Indicadores de residuos analizados semestralmente por sede?,Escala,7,Si,Informe semestral,Mejora,,
Comite GAGAS se reune conforme cronograma bimestral?,Si/No,3,No,Acta comite,Mejora,,
Plan de contingencia actualizado y difundido al personal?,Si/No,3,Si,Plan y registro de socializacion,Seguridad,,
Total peso,,100,,,,,
